condition,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_score_avg
ai,4,3,4,5,4,3,4,5,4,5,4.1
control,4,4,4,5,5,4,4,5,5,5,4.5
ai,4,4,3,2,2,2,2,2,NA,2,2.5555555555555554
control,4,3,4,5,4,3,5,4,3,4,3.9
ai,4,NA,4,3,4,3,2,3,3,2,3.111111111111111
ai,4,4,5,4,5,4,3,4,5,3,4.1
ai,4,2,5,4,5,4,4,5,4,5,4.2
ai,4,4,5,4,5,4,5,2,5,5,4.3
ai,4,4,4,4,4,4,4,4,4,4,4
ai,5,5,5,5,5,5,5,5,5,5,5
ai,5,5,5,5,5,5,5,5,5,5,5
